timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1771271927121,343,conformation Request,200,OK,Soak Testing Group 3-2,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,338,0,0
1771271927164,311,purchase Request,200,OK,Soak Testing Group 3-18,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,308,0,0
1771271927142,335,conformation Request,200,OK,Soak Testing Group 3-37,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,330,0,0
1771271927220,312,Reserve Request,200,OK,Soak Testing Group 3-13,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,293,0,0
1771271927237,295,conformation Request,200,OK,Soak Testing Group 3-36,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,279,0,0
1771271927218,318,Reserve Request,200,OK,Soak Testing Group 3-14,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,318,0,0
1771271927222,314,conformation Request,200,OK,Soak Testing Group 3-29,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,314,0,0
1771271927166,370,conformation Request,200,OK,Soak Testing Group 3-4,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,367,0,0
1771271927222,321,conformation Request,200,OK,Soak Testing Group 3-23,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,315,0,0
1771271927243,307,Reserve Request,200,OK,Soak Testing Group 3-32,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,299,0,0
1771271927205,347,Reserve Request,200,OK,Soak Testing Group 3-30,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,337,0,0
1771271927239,314,purchase Request,200,OK,Soak Testing Group 3-24,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,305,0,0
1771271927243,312,purchase Request,200,OK,Soak Testing Group 3-15,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,309,0,0
1771271927237,337,purchase Request,200,OK,Soak Testing Group 3-25,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,326,0,0
1771271927241,345,purchase Request,200,OK,Soak Testing Group 3-9,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,336,0,0
1771271927279,311,purchase Request,200,OK,Soak Testing Group 3-20,text,true,,6719,278,40,40,https://blazedemo.com/purchase.php,297,0,0
1771271927279,340,Reserve Request,200,OK,Soak Testing Group 3-22,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,321,0,0
1771271927288,342,Reserve Request,200,OK,Soak Testing Group 3-1,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,332,0,0
1771271927302,333,purchase Request,200,OK,Soak Testing Group 3-16,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,330,0,0
1771271927305,330,Reserve Request,200,OK,Soak Testing Group 3-21,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,325,0,0
1771271927288,362,purchase Request,200,OK,Soak Testing Group 3-3,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,346,0,0
1771271927352,302,purchase Request,200,OK,Soak Testing Group 3-5,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,288,0,0
1771271927334,321,Reserve Request,200,OK,Soak Testing Group 3-31,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,316,0,0
1771271927362,294,purchase Request,200,OK,Soak Testing Group 3-34,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,288,0,0
1771271927301,392,conformation Request,200,OK,Soak Testing Group 3-7,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,382,0,0
1771271927322,391,Reserve Request,200,OK,Soak Testing Group 3-33,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,376,0,0
1771271927404,310,Reserve Request,200,OK,Soak Testing Group 3-11,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,305,0,0
1771271927403,311,purchase Request,200,OK,Soak Testing Group 3-40,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,308,0,0
1771271927396,319,Reserve Request,200,OK,Soak Testing Group 3-27,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,315,0,0
1771271927422,321,purchase Request,200,OK,Soak Testing Group 3-19,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,302,0,0
1771271927412,331,Reserve Request,200,OK,Soak Testing Group 3-39,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,312,0,0
1771271927402,349,purchase Request,200,OK,Soak Testing Group 3-17,text,true,,6719,278,40,40,https://blazedemo.com/purchase.php,341,0,0
1771271927464,310,conformation Request,200,OK,Soak Testing Group 3-35,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,293,0,0
1771271927434,340,purchase Request,200,OK,Soak Testing Group 3-28,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,320,0,0
1771271927441,335,conformation Request,200,OK,Soak Testing Group 3-10,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,331,0,0
1771271927475,301,conformation Request,200,OK,Soak Testing Group 3-18,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,299,0,0
1771271927477,306,Reserve Request,200,OK,Soak Testing Group 3-37,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,299,0,0
1771271927464,334,purchase Request,200,OK,Soak Testing Group 3-6,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,313,0,0
1771271927464,338,Reserve Request,200,OK,Soak Testing Group 3-2,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,334,0,0
1771271927532,283,Reserve Request,200,OK,Soak Testing Group 3-36,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,270,0,0
1771271927461,374,conformation Request,200,OK,Soak Testing Group 3-38,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,359,0,0
1771271927425,410,Reserve Request,200,OK,Soak Testing Group 3-26,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,395,0,0
1771271927556,296,conformation Request,200,OK,Soak Testing Group 3-15,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,284,0,0
1771271927550,302,purchase Request,200,OK,Soak Testing Group 3-32,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,292,0,0
1771271927536,316,purchase Request,200,OK,Soak Testing Group 3-14,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,304,0,0
1771271927416,444,conformation Request,200,OK,Soak Testing Group 3-8,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,437,0,0
